Arrow Creation Report (Sorted by ID, URDF Only)
===============================================

ID: 7119 - ✓ Success - Category: Microwave
ID: 7120 - ✓ Success - Category: Oven
ID: 7128 - ✓ Success - Category: Microwave
ID: 7130 - ✓ Success - Category: Oven
ID: 7138 - ✓ Success - Category: Oven
ID: 7167 - ✓ Success - Category: Microwave
ID: 7179 - ✓ Success - Category: Oven
ID: 7187 - ✓ Success - Category: Oven
ID: 7201 - ✓ Success - Category: Oven
ID: 7220 - ✓ Success - Category: Oven
ID: 7221 - ✓ Success - Category: Microwave
ID: 7263 - ✓ Success - Category: Microwave
ID: 7273 - ✓ Success - Category: Microwave
ID: 7290 - ✓ Success - Category: Oven
ID: 7296 - ✓ Success - Category: Microwave
ID: 7304 - ✓ Success - Category: Microwave
ID: 7310 - ✓ Success - Category: Microwave
ID: 7320 - ✓ Success - Category: Microwave
ID: 7332 - ✓ Success - Category: Oven
ID: 7347 - ✓ Success - Category: Oven
ID: 7349 - ✓ Success - Category: Microwave
ID: 7366 - ✓ Success - Category: Microwave
ID: 10036 - ✓ Success - Category: Refrigerator
ID: 10068 - ✓ Success - Category: Refrigerator
ID: 10347 - ✓ Success - Category: Refrigerator
ID: 10373 - ✓ Success - Category: Refrigerator
ID: 10489 - ✓ Success - Category: Refrigerator
ID: 10627 - ✓ Success - Category: Refrigerator
ID: 10638 - ✓ Success - Category: Refrigerator
ID: 10655 - ✓ Success - Category: Refrigerator
ID: 10751 - ✓ Success - Category: Refrigerator
ID: 10797 - ✓ Success - Category: Refrigerator
ID: 10849 - ✓ Success - Category: Refrigerator
ID: 10900 - ✓ Success - Category: Refrigerator
ID: 10944 - ✓ Success - Category: Refrigerator
ID: 11178 - ✓ Success - Category: Refrigerator
ID: 11211 - ✓ Success - Category: Refrigerator
ID: 11231 - ✓ Success - Category: Refrigerator
ID: 11299 - ✓ Success - Category: Refrigerator
ID: 11304 - ✓ Success - Category: Refrigerator
ID: 11550 - ✓ Success - Category: Refrigerator
ID: 11622 - ✓ Success - Category: Dishwasher
ID: 11661 - ✓ Success - Category: Dishwasher
ID: 11700 - ✓ Success - Category: Dishwasher
ID: 11709 - ✓ Success - Category: Refrigerator
ID: 11712 - ✓ Success - Category: Refrigerator
ID: 11846 - ✓ Success - Category: Refrigerator
ID: 11887 - ✓ Success - Category: Dishwasher
ID: 12038 - ✓ Success - Category: Refrigerator
ID: 12042 - ✓ Success - Category: Refrigerator
ID: 12043 - ✓ Success - Category: Refrigerator
ID: 12050 - ✓ Success - Category: Refrigerator
ID: 12054 - ✓ Success - Category: Refrigerator
ID: 12059 - ✓ Success - Category: Refrigerator
ID: 12071 - ✓ Success - Category: Dishwasher
ID: 12092 - ✓ Success - Category: Dishwasher
ID: 12248 - ✓ Success - Category: Refrigerator
ID: 12249 - ✓ Success - Category: Refrigerator
ID: 12250 - ✓ Success - Category: Refrigerator
ID: 12252 - ✓ Success - Category: Refrigerator
ID: 12259 - ✓ Success - Category: Dishwasher
ID: 12480 - ✓ Success - Category: Dishwasher
ID: 12530 - ✓ Success - Category: Dishwasher
ID: 12531 - ✓ Success - Category: Dishwasher
ID: 12536 - ✓ Success - Category: Dishwasher
